1.215982735157012939e-01,1.234921216964721680e-01,9.698913991451263428e-02,4.065729677677154541e-03,3.015613183379173279e-03,6.309270858764648438e-02,4.448469728231430054e-02,4.444133490324020386e-02,4.029765725135803223e-03,1.520488224923610687e-02,1.829092204570770264e-02,1.795157790184020996e-02,4.512691497802734375e-02,8.180993795394897461e-02,3.850509412586688995e-03,4.855665843933820724e-03,9.288284927606582642e-02,9.311246871948242188e-02,3.172962963581085205e-01,3.128907084465026855e-01,1.732745766639709473e-01,1.727540194988250732e-01,6.841627508401870728e-02,-1.161092892289161682e-03,1.338732242584228516e-01,1.522575877606868744e-02,1.100200414657592773e-01,3.551036491990089417e-02,3.872672468423843384e-02,9.992244094610214233e-02,8.340559899806976318e-02,2.419662624597549438e-01,2.906446903944015503e-02,1.366987377405166626e-01,1.313800513744354248e-01,1.293690595775842667e-02,1.912200450897216797e-02,2.145234495401382446e-01,9.195594117045402527e-03,6.783967465162277222e-02,1.274728924036026001e-01,5.518114194273948669e-02,8.973075449466705322e-02,1.147652417421340942e-02,1.527899689972400665e-02,1.576652824878692627e-01,1.490903794765472412e-01,1.875376142561435699e-02,2.352794632315635681e-02,7.290291041135787964e-02,7.685078680515289307e-02,8.601820096373558044e-03
1.098567247390747070e-01,1.114372164011001587e-01,1.081490442156791687e-01,7.255075499415397644e-03,6.263492628931999207e-03,6.352137774229049683e-02,4.873371124267578125e-02,5.019693821668624878e-02,2.038074657320976257e-03,1.268269307911396027e-02,1.311821490526199341e-02,1.292286626994609833e-02,5.513014644384384155e-02,7.391911745071411133e-02,3.520450089126825333e-03,7.160485256463289261e-03,8.893865346908569336e-02,8.916464447975158691e-02,3.243719041347503662e-01,3.201893568038940430e-01,1.633351594209671021e-01,1.628735065460205078e-01,6.947968900203704834e-02,-9.887828491628170013e-04,1.568078994750976562e-01,1.659041456878185272e-02,1.215669810771942139e-01,3.703527897596359253e-02,3.996626660227775574e-02,9.720093756914138794e-02,8.041267842054367065e-02,2.468984276056289673e-01,3.045302815735340118e-02,1.481554061174392700e-01,1.429927349090576172e-01,1.393072865903377533e-02,1.959636807441711426e-02,2.202212959527969360e-01,9.048998355865478516e-03,7.176540791988372803e-02,1.367833912372589111e-01,5.311314761638641357e-02,9.724988788366317749e-02,1.169907860457897186e-02,1.582459919154644012e-02,1.615123748779296875e-01,1.526677906513214111e-01,2.063531801104545593e-02,2.632088586688041687e-02,7.538884878158569336e-02,8.067815005779266357e-02,6.836918648332357407e-03
1.006460785865783691e-01,1.024207919836044312e-01,1.172978058457374573e-01,1.076173037290573120e-02,1.000669784843921661e-02,6.449561566114425659e-02,4.984765127301216125e-02,5.050280690193176270e-02,3.120006993412971497e-03,1.218170672655105591e-02,1.003619655966758728e-02,1.000364311039447784e-02,7.533535361289978027e-02,5.532962828874588013e-02,2.113047521561384201e-03,1.105936802923679352e-02,9.578237682580947876e-02,9.599160403013229370e-02,3.148491978645324707e-01,3.121818006038665771e-01,1.550188809633255005e-01,1.545384973287582397e-01,7.236773520708084106e-02,3.262287937104701996e-04,1.725717782974243164e-01,1.717723533511161804e-02,1.347256302833557129e-01,4.167980700731277466e-02,4.253019019961357117e-02,1.001008227467536926e-01,8.526469767093658447e-02,2.519323229789733887e-01,3.728714212775230408e-02,1.528141051530838013e-01,1.471184045076370239e-01,1.421736180782318115e-02,1.899771019816398621e-02,2.244426459074020386e-01,4.700872581452131271e-03,7.264859974384307861e-02,1.420564055442810059e-01,5.306455120444297791e-02,9.278909862041473389e-02,1.190571486949920654e-02,1.164107024669647217e-02,1.674278974533081055e-01,1.562751233577728271e-01,2.093093842267990112e-02,2.571696229279041290e-02,7.606461644172668457e-02,8.156712353229522705e-02,6.621892098337411880e-03
1.007473915815353394e-01,1.031202524900436401e-01,1.276584565639495850e-01,1.797265559434890747e-02,1.749775372445583344e-02,6.531855463981628418e-02,4.973019659519195557e-02,5.059266090393066406e-02,5.372520536184310913e-04,7.728464901447296143e-03,1.349072530865669250e-02,1.348081976175308228e-02,8.603670448064804077e-02,5.248951539397239685e-02,2.803058829158544540e-03,1.803388632833957672e-02,7.933848351240158081e-02,7.953702658414840698e-02,2.879908084869384766e-01,2.858849167823791504e-01,1.594511717557907104e-01,1.587100327014923096e-01,7.518641650676727295e-02,9.860696736723184586e-04,1.819987446069717407e-01,1.776221022009849548e-02,1.428952366113662720e-01,4.307991266250610352e-02,4.469142854213714600e-02,8.333799988031387329e-02,7.172276824712753296e-02,2.636592984199523926e-01,3.616211563348770142e-02,1.659617871046066284e-01,1.600939184427261353e-01,1.403136271983385086e-02,1.842088624835014343e-02,2.404907792806625366e-01,3.916649147868156433e-03,6.905607134103775024e-02,1.412740796804428101e-01,5.152527615427970886e-02,9.553280472755432129e-02,1.469165086746215820e-02,1.430538669228553772e-02,1.674526631832122803e-01,1.566482782363891602e-01,2.167494595050811768e-02,2.606614306569099426e-02,7.761219888925552368e-02,8.249330520629882812e-02,5.982767790555953979e-03
1.090937852859497070e-01,1.119808107614517212e-01,1.339336931705474854e-01,2.729254215955734253e-02,2.685417234897613525e-02,7.427383959293365479e-02,4.465448111295700073e-02,4.656220600008964539e-02,-1.843955367803573608e-03,4.952367395162582397e-03,2.001924999058246613e-02,2.003782242536544800e-02,9.794303774833679199e-02,5.380845069885253906e-02,3.704285714775323868e-03,3.052483499050140381e-02,6.584473699331283569e-02,6.600330024957656860e-02,2.559320330619812012e-01,2.540734708309173584e-01,1.762702912092208862e-01,1.752460598945617676e-01,8.002746105194091797e-02,8.064187131822109222e-04,1.789912134408950806e-01,1.697846688330173492e-02,1.422284692525863647e-01,4.102091491222381592e-02,4.273882880806922913e-02,7.257580757141113281e-02,6.207855418324470520e-02,2.636833190917968750e-01,3.562492877244949341e-02,1.747054606676101685e-01,1.696937233209609985e-01,1.702520065009593964e-02,2.155420742928981781e-02,2.489298284053802490e-01,6.151750683784484863e-03,7.499021291732788086e-02,1.459465026855468750e-01,5.057145282626152039e-02,9.791593998670578003e-02,1.325670070946216583e-02,1.529706269502639771e-02,1.674652397632598877e-01,1.568686664104461670e-01,2.058555930852890015e-02,2.540756203234195709e-02,7.752415537834167480e-02,8.290466666221618652e-02,3.699297318235039711e-03
1.229566931724548340e-01,1.256487369537353516e-01,1.355856657028198242e-01,3.703594207763671875e-02,3.658305853605270386e-02,8.391790837049484253e-02,4.494461417198181152e-02,4.649165272712707520e-02,6.407979875802993774e-03,1.244869269430637360e-02,2.839799039065837860e-02,2.842770516872406006e-02,9.596630185842514038e-02,5.466562882065773010e-02,5.127284675836563110e-03,2.768464945256710052e-02,3.520077839493751526e-02,3.519365936517715454e-02,2.258629947900772095e-01,2.248975932598114014e-01,1.894198805093765259e-01,1.889119893312454224e-01,7.542762905359268188e-02,1.108993776142597198e-03,1.644228547811508179e-01,1.411533262580633163e-02,1.364690065383911133e-01,4.206443950533866882e-02,4.251517355442047119e-02,7.145263999700546265e-02,6.026401743292808533e-02,2.625135779380798340e-01,3.861732035875320435e-02,1.650318503379821777e-01,1.600727587938308716e-01,1.917590014636516571e-02,2.379894629120826721e-02,2.660296857357025146e-01,5.088193807750940323e-03,7.522201538085937500e-02,1.446157544851303101e-01,5.504406988620758057e-02,8.978772163391113281e-02,1.103965938091278076e-02,7.481299340724945068e-03,1.661193072795867920e-01,1.539134085178375244e-01,1.842709071934223175e-02,2.352577820420265198e-02,8.113774657249450684e-02,8.678087592124938965e-02,4.517441149801015854e-03
1.257636994123458862e-01,1.277377009391784668e-01,1.353155970573425293e-01,4.360265284776687622e-02,4.353959113359451294e-02,6.958269327878952026e-02,4.700390249490737915e-02,4.690439999103546143e-02,1.017882674932479858e-02,1.427431963384151459e-02,4.230333119630813599e-02,4.226355999708175659e-02,8.109847456216812134e-02,6.079903990030288696e-02,3.871229710057377815e-03,1.939753070473670959e-02,2.296409569680690765e-02,2.287239581346511841e-02,2.060061842203140259e-01,2.058890163898468018e-01,2.008949220180511475e-01,2.010592222213745117e-01,8.200693130493164062e-02,9.872633963823318481e-04,1.792232841253280640e-01,1.335652172565460205e-02,1.317884773015975952e-01,4.465289041399955750e-02,4.373631998896598816e-02,6.345645338296890259e-02,5.705204978585243225e-02,2.520763874053955078e-01,3.988206386566162109e-02,1.892225593328475952e-01,1.834727525711059570e-01,2.050619944930076599e-02,2.513155341148376465e-02,2.338791489601135254e-01,4.021046683192253113e-03,7.109405100345611572e-02,1.347966790199279785e-01,5.870032683014869690e-02,1.085359603166580200e-01,1.830916851758956909e-02,1.275580935180187225e-02,1.701205968856811523e-01,1.572678983211517334e-01,2.430057153105735779e-02,2.796318754553794861e-02,7.982251793146133423e-02,8.338484168052673340e-02,5.576150026172399521e-03
1.066259294748306274e-01,1.093244701623916626e-01,1.630055159330368042e-01,7.598403096199035645e-02,7.624080032110214233e-02,4.124993830919265747e-02,5.058341473340988159e-02,5.215652287006378174e-02,3.102069720625877380e-03,8.660776540637016296e-03,5.672021955251693726e-02,5.659274756908416748e-02,6.723805516958236694e-02,7.037390768527984619e-02,4.954403266310691833e-03,1.255054026842117310e-02,2.003598026931285858e-02,1.983801275491714478e-02,1.632625311613082886e-01,1.619128286838531494e-01,2.098774760961532593e-01,2.101008892059326172e-01,1.098688989877700806e-01,-1.394278369843959808e-04,2.474462687969207764e-01,2.149087190628051758e-02,1.304675489664077759e-01,4.263445734977722168e-02,4.240468889474868774e-02,6.104603782296180725e-02,5.662541463971138000e-02,2.422329187393188477e-01,3.236473351716995239e-02,3.062381446361541748e-01,2.982399165630340576e-01,1.915204152464866638e-02,2.331973053514957428e-02,1.544115990400314331e-01,2.588902134448289871e-04,5.934511870145797729e-02,1.230301409959793091e-01,4.681561514735221863e-02,1.745842397212982178e-01,6.420001387596130371e-02,6.028647348284721375e-02,1.911610215902328491e-01,1.794680058956146240e-01,4.169191047549247742e-02,4.506910592317581177e-02,8.045616745948791504e-02,8.470799773931503296e-02,3.391248174011707306e-03
9.786672890186309814e-02,9.940898418426513672e-02,1.897023618221282959e-01,9.490656107664108276e-02,9.527940303087234497e-02,1.748745143413543701e-02,4.846224561333656311e-02,4.599982872605323792e-02,-3.045661374926567078e-03,2.408524975180625916e-03,6.038559973239898682e-02,6.021956354379653931e-02,5.861952155828475952e-02,7.816172391176223755e-02,9.976360946893692017e-03,6.814014632254838943e-03,1.736598089337348938e-02,1.698791608214378357e-02,1.562857627868652344e-01,1.549987792968750000e-01,2.494733631610870361e-01,2.496370077133178711e-01,1.496952176094055176e-01,-5.016117356717586517e-04,2.986298799514770508e-01,2.859363146126270294e-02,1.078240871429443359e-01,4.083613306283950806e-02,3.667323663830757141e-02,2.002605423331260681e-02,2.085273712873458862e-02,2.142495363950729370e-01,3.254854679107666016e-02,4.402966201305389404e-01,4.297449588775634766e-01,1.613233797252178192e-02,1.899282634258270264e-02,7.822255045175552368e-02,-4.239588044583797455e-03,4.635313525795936584e-02,1.154346913099288940e-01,2.299397997558116913e-02,2.295362651348114014e-01,1.314677894115447998e-01,1.254968047142028809e-01,2.275791466236114502e-01,2.137836515903472900e-01,6.103168055415153503e-02,6.137422472238540649e-02,7.337385416030883789e-02,7.597880065441131592e-02,2.680124482139945030e-03
9.310802817344665527e-02,9.428903460502624512e-02,2.198217809200286865e-01,1.328417956829071045e-01,1.329917162656784058e-01,1.170842815190553665e-02,4.626454412937164307e-02,4.649813100695610046e-02,-3.500610589981079102e-03,3.042118623852729797e-03,5.528939515352249146e-02,5.502196401357650757e-02,4.802517592906951904e-02,8.940391987562179565e-02,1.700305752456188202e-02,1.617803791305050254e-04,1.510297600179910660e-02,1.476545631885528564e-02,1.712843328714370728e-01,1.716093122959136963e-01,2.854552268981933594e-01,2.856354713439941406e-01,1.756615042686462402e-01,5.342927761375904083e-05,3.092546164989471436e-01,2.951393090188503265e-02,8.266010135412216187e-02,4.226006567478179932e-02,3.684820234775543213e-02,1.425965782254934311e-02,1.397732831537723541e-02,1.900341361761093140e-01,3.613400086760520935e-02,5.129529833793640137e-01,5.000901818275451660e-01,1.321972534060478210e-02,1.651190221309661865e-02,4.620087146759033203e-02,-4.033485427498817444e-03,3.587860986590385437e-02,1.021246314048767090e-01,1.025547087192535400e-02,2.620500326156616211e-01,1.745645105838775635e-01,1.664057821035385132e-01,2.634014785289764404e-01,2.448347210884094238e-01,8.071073889732360840e-02,8.109866082668304443e-02,7.651641964912414551e-02,8.079794049263000488e-02,4.023277200758457184e-03
